player_id,player_name,full_name,team,position,price
1,Raya,David Raya Martín,Arsenal,GK,60
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,Arsenal,GK,50
3,Meslier,Illan Meslier,Arsenal,GK,50
4,Gabriel,Gabriel dos Santos Magalhães,Arsenal,DEF,80
5,J.Timber,Jurriën Timber,Arsenal,DEF,65
6,Saliba,William Saliba,Arsenal,DEF,60
7,Lewis-Skelly,Myles Lewis-Skelly,Arsenal,MID,55
8,Calafiori,Riccardo Calafiori,Arsenal,DEF,55
9,Hincapie,Piero Hincapié,Arsenal,DEF,55
10,White,Benjamin White,Arsenal,DEF,55
11,Mosquera,Cristhian Mosquera,Arsenal,DEF,55
12,Saka,Bukayo Saka,Arsenal,MID,95
13,Rice,Declan Rice,Arsenal,MID,75
14,Eze,Eberechi Eze,Arsenal,MID,65
15,Ødegaard,Martin Ødegaard,Arsenal,MID,65
16,Madueke,Noni Madueke,Arsenal,MID,65
17,Merino,Mikel Merino Zazón,Arsenal,MID,60
18,Martinelli,Gabriel Martinelli Silva,Arsenal,MID,65
19,Zubimendi,Martín Zubimendi Ibáñez,Arsenal,MID,55
20,Dowman,Max Dowman,Arsenal,MID,55
21,Nørgaard,Christian Nørgaard,Arsenal,MID,50
22,Nwaneri,Ethan Nwaneri,Arsenal,MID,55
23,Fábio Vieira,Fábio Ferreira Vieira,Arsenal,MID,55
24,Nelson,Reiss Nelson,Arsenal,MID,55
25,Gyökeres,Viktor Gyökeres,Arsenal,FWD,75
26,Havertz,Kai Havertz,Arsenal,FWD,75
27,G.Jesus,Gabriel Fernando de Jesus,Arsenal,FWD,60
557,Tzolis,Christos Tzolis,Arsenal,MID,65
28,Martinez,Emiliano Martínez Romero,Aston Villa,GK,50
29,M.Bizot,Marco Bizot,Aston Villa,GK,45
30,Digne,Lucas Digne,Aston Villa,DEF,45
31,Konsa,Ezri Konsa Ngoyo,Aston Villa,DEF,45
32,Cash,Matty Cash,Aston Villa,DEF,45
33,Mings,Tyrone Mings,Aston Villa,DEF,45
34,Pau,Pau Torres,Aston Villa,DEF,45
35,Bogarde,Lamare Bogarde,Aston Villa,MID,50
36,Maatsen,Ian Maatsen,Aston Villa,DEF,45
37,Lindelöf,Victor Lindelöf,Aston Villa,DEF,45
38,A.García,Andrés García,Aston Villa,DEF,40
39,Nedeljkovic,Kosta Nedeljkovic,Aston Villa,DEF,40
41,Buendía,Emiliano Buendía Stati,Aston Villa,MID,60
42,Guessand,Evann Guessand,Aston Villa,MID,55
44,Bailey,Leon Bailey,Aston Villa,MID,55
45,McGinn,John McGinn,Aston Villa,MID,55
46,Barkley,Ross Barkley,Aston Villa,MID,50
47,Kamara,Boubacar Kamara,Aston Villa,MID,50
48,Onana,Amadou Onana,Aston Villa,MID,50
49,Iling Jr,Samuel Iling-Junior,Aston Villa,MID,50
50,Burrowes,Bradley Burrowes,Aston Villa,MID,45
51,George Hemmings,George Hemmings,Aston Villa,MID,45
52,Alysson,Alysson Edward Franco da Rocha dos Santos,Aston Villa,MID,50
53,Manzambi,Johan Manzambi,Aston Villa,MID,60
54,Gomes,Joao Gomes,Aston Villa,MID,55
55,Watkins,Ollie Watkins,Aston Villa,FWD,80
56,Abraham,Tammy Abraham,Aston Villa,FWD,55
160,Garnacho,Alejandro Garnacho Ferreyra,Aston Villa,MID,60
57,Petrović,Đorđe Petrović,Bournemouth,GK,45
58,Forster,Fraser Forster,Bournemouth,GK,40
59,Dennis,Will Dennis,Bournemouth,GK,40
60,Hill,James Hill,Bournemouth,DEF,55
61,Truffert,Adrien Truffert,Bournemouth,DEF,55
62,Diakité,Bafodé Diakité,Bournemouth,DEF,50
63,Milosavljević,Veljko Milosavljevic,Bournemouth,DEF,50
64,Smith,Adam Smith,Bournemouth,DEF,45
65,J.Araujo,Julián Araujo Zúñiga,Bournemouth,DEF,45
66,Soler,Julio Soler Barreto,Bournemouth,DEF,40
67,Rayan,Rayan Vitor Simplício Rocha,Bournemouth,MID,65
68,Tavernier,Marcus Tavernier,Bournemouth,MID,60
69,Scott,Alex Scott,Bournemouth,MID,60
70,Kluivert,Justin Kluivert,Bournemouth,MID,60
71,Cook,Lewis Cook,Bournemouth,MID,50
72,Gannon-Doak,Ben Gannon-Doak,Bournemouth,MID,50
73,Adams,Tyler Adams,Bournemouth,MID,50
74,Brooks,David Brooks,Bournemouth,MID,50
75,Christie,Ryan Christie,Bournemouth,MID,50
76,Tóth.A,Alex Tóth,Bournemouth,MID,50
77,Adli,Amine Adli,Bournemouth,MID,50
78,Kroupi.Jr,Junior Kroupi,Bournemouth,MID,75
79,Evanilson,Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,60
80,Enes Ünal,Enes Ünal,Bournemouth,FWD,55
81,Rodríguez,Álvaro Rodríguez,Bournemouth,FWD,60
82,Kelleher,Caoimhín Kelleher,Brentford,GK,50
83,Valdimarsson,Hákon Rafn Valdimarsson,Brentford,GK,45
84,Collins,Nathan Collins,Brentford,DEF,55
85,Van den Berg,Sepp van den Berg,Brentford,DEF,50
86,Lewis-Potter,Keane Lewis-Potter,Brentford,MID,55
87,Ajer,Kristoffer Ajer,Brentford,DEF,45
88,Kayode,Michael Kayode,Brentford,DEF,45
89,Henry,Rico Henry,Brentford,DEF,45
90,Hickey,Aaron Hickey,Brentford,DEF,45
91,Pinnock,Ethan Pinnock,Brentford,DEF,45
92,Ji-soo,Kim Ji-soo,Brentford,DEF,45
93,Schuster,Jannik Schuster,Brentford,DEF,45
94,Schade,Kevin Schade,Brentford,MID,60
95,O.Dango,Dango Ouattara,Brentford,MID,65
96,Damsgaard,Mikkel Damsgaard,Brentford,MID,55
97,Jensen,Mathias Jensen,Brentford,MID,55
98,Janelt,Vitaly Janelt,Brentford,MID,50
99,Milambo,Antoni Milambo,Brentford,MID,50
100,Carvalho,Fábio Freitas Gouveia Carvalho,Brentford,MID,50
101,Henderson,Jordan Henderson,Brentford,MID,50
102,Yarmoliuk,Yehor Yarmoliuk,Brentford,MID,50
103,Dasilva,Josh Dasilva,Brentford,MID,50
105,Anthony,Jaidon Anthony,Brentford,MID,60
106,Thiago,Igor Thiago Nascimento Rodrigues,Brentford,FWD,80
107,Furo,Kaye Furo,Brentford,FWD,45
108,Wilson,Callum Wilson,Brentford,FWD,55
109,Verbruggen,Bart Verbruggen,Brighton,GK,45
110,Rushworth,Carl Rushworth,Brighton,GK,45
111,Steele,Jason Steele,Brighton,GK,40
113,F.Kadıoğlu,Ferdi Kadıoğlu,Brighton,DEF,45
114,Boscagli,Olivier Boscagli,Brighton,DEF,45
115,De Cuyper,Maxim De Cuyper,Brighton,DEF,45
116,Dunk,Lewis Dunk,Brighton,DEF,45
117,Coppola,Diego Coppola,Brighton,DEF,45
118,Igor,Igor Julio dos Santos de Paulo,Brighton,DEF,45
119,Costinha,João Pedro Loureiro da Costa,Brighton,DEF,45
120,Svoboda,Michael Svoboda,Brighton,DEF,50
121,Mitoma,Mitoma Kaoru,Brighton,MID,60
122,Minteh,Yankuba Minteh,Brighton,MID,60
123,Hinshelwood,Jack Hinshelwood,Brighton,MID,60
124,Groß,Pascal Groß,Brighton,MID,55
125,Georginio,Georginio Rutter,Brighton,FWD,55
126,O'Riley,Matt O'Riley,Brighton,MID,55
127,Gomez,Diego Gómez Amarilla,Brighton,MID,50
128,Buonanotte,Facundo Buonanotte,Brighton,MID,50
129,Ayari,Yasin Ayari,Brighton,MID,55
130,Wieffer,Mats Wieffer,Brighton,DEF,50
131,Baleba,Carlos Baleba,Brighton,MID,50
132,Howell,Harry Howell,Brighton,MID,45
133,Watson,Tom Watson,Brighton,MID,50
134,Oriola,Nehemiah Oriola,Brighton,MID,45
135,Yohanna,Zadok Yohanna,Brighton,MID,50
136,Welbeck,Danny Welbeck,Brighton,FWD,60
137,Tzimas,Stefanos Tzimas,Brighton,FWD,55
138,Kostoulas,Charalampos Kostoulas,Brighton,FWD,55
139,Ferguson,Evan Ferguson,Brighton,FWD,50
328,Struijk,Pascal Struijk,Brighton,DEF,50
504,Vuskovic,Luka Vušković,Brighton,DEF,50
40,Rogers,Morgan Rogers,Chelsea,MID,75
140,Sánchez,Robert Lynch Sánchez,Chelsea,GK,50
141,Jörgensen,Filip Jörgensen,Chelsea,GK,50
142,James,Reece James,Chelsea,DEF,55
143,Chalobah,Trevoh Chalobah,Chelsea,DEF,55
144,Gusto,Malo Gusto,Chelsea,DEF,50
145,Fofana,Wesley Fofana,Chelsea,DEF,50
146,B.Badiashile,Benoît Badiashile Mukinayi,Chelsea,DEF,45
147,Tosin,Tosin Adarabioyo,Chelsea,DEF,45
148,Hato,Jorrel Hato,Chelsea,DEF,45
149,Colwill,Levi Samuels Colwill,Chelsea,DEF,50
150,M.Sarr,Mamadou Sarr,Chelsea,DEF,45
151,Acheampong,Josh Acheampong,Chelsea,DEF,45
152,Palestra,Marco Palestra,Chelsea,DEF,55
153,Disasi,Axel Disasi,Chelsea,DEF,45
154,Palmer,Cole Palmer,Chelsea,MID,95
155,Enzo,Enzo Fernández,Chelsea,MID,70
156,Neto,Pedro Lomba Neto,Chelsea,MID,65
157,Estêvão,Estêvão Almeida de Oliveira Gonçalves,Chelsea,MID,65
158,Gittens,Jamie Bynoe-Gittens,Chelsea,MID,60
159,Caicedo,Moisés Caicedo Corozo,Chelsea,MID,55
161,Lavia,Roméo Lavia,Chelsea,MID,50
163,D.Essugo,Dário Luís Essugo,Chelsea,MID,45
164,Quenda,Geovany Quenda,Chelsea,MID,55
165,João Pedro,João Pedro Junqueira de Jesus,Chelsea,FWD,75
166,N.Jackson,Nicolas Jackson,Chelsea,FWD,65
