fixture_id,was_home,gameweek,match_date,opponent_team,team_goals_scored,team,team_goals_conceded,team_xG_for,team_shots_for,team_xG_against,team_shots_against,fb_team_possession,fb_team_sot_pct,fb_team_saves_pct,fb_team_yellow_cards,fb_team_red_cards,us_team_ppda,us_team_deep,us_team_xpts
252,False,26,2026-02-12,Brentford,1,Arsenal,1,0.8779391124844548,8.0,1.8115374892950058,12.0,60.0,29.0,66.0,2.0,0.0,8.0909,9.0,0.6291
257,False,26,2026-02-11,Nott'm Forest,0,Wolves,0,0.4142486862838267,7.0,2.8274935679510236,33.0,37.0,43.0,100.0,2.0,0.0,9.9167,2.0,0.0375
307,False,36,2026-05-13,Man City,0,Crystal Palace,3,0.6805625818669794,10.0,1.9567860076203938,15.0,28.0,33.0,25.0,2.0,0.0,28.0833,2.0,0.3052
307,True,36,2026-05-13,Crystal Palace,3,Man City,0,1.9567860076203938,15.0,0.6805625818669794,10.0,,,,,,,,
310,False,26,2026-02-18,Wolves,2,Arsenal,2,2.032900609076023,10.0,0.1731187952682374,5.0,58.0,40.0,0.0,1.0,0.0,8.2083,5.0,2.7840999999999996
310,True,26,2026-02-18,Arsenal,2,Wolves,2,0.1731187952682374,5.0,2.032900609076023,10.0,42.0,40.0,50.0,2.0,0.0,11.4444,4.0,0.1297
323,True,33,2026-04-18,Man Utd,0,Chelsea,1,1.1573435142636297,18.0,0.4360433444380759,4.0,60.0,14.0,100.0,1.0,0.0,11.3478,8.0,2.0428
326,True,33,2026-04-18,Wolves,3,Leeds,0,3.719396226108074,17.0,0.6213879883289335,8.0,,,,,,,,
327,True,33,2026-04-19,Arsenal,2,Man City,1,2.8213330637663603,15.0,2.660522695630789,10.0,,,,,,,,
328,False,33,2026-04-18,Newcastle,2,Bournemouth,1,4.119766605086625,15.0,1.632790897041559,12.0,46.0,25.0,66.0,4.0,0.0,10.5238,7.0,2.5901
329,False,33,2026-04-19,Nott'm Forest,1,Burnley,4,0.6014180108904836,4.0,1.4466118812561035,10.0,49.0,75.0,0.0,2.0,0.0,10.2143,3.0,0.6392
330,False,33,2026-04-18,Spurs,2,Brighton,2,1.3412190526723857,12.0,1.619723902083933,13.0,58.0,30.0,66.0,1.0,0.0,5.6364,7.0,1.0158
332,False,33,2026-04-22,Bournemouth,1,Leeds,2,1.2322830036282535,11.0,1.9692325256764884,19.0,,,,,,,,
332,True,33,2026-04-22,Leeds,2,Bournemouth,2,1.9692325256764884,19.0,1.2322830036282535,11.0,60.0,41.0,66.0,3.0,0.0,8.8421,13.0,1.8973
333,False,33,2026-04-21,Brighton,0,Chelsea,3,0.2978653758764265,6.0,2.5178432092070575,15.0,46.0,0.0,44.0,1.0,0.0,22.2143,3.0,0.1325
333,True,33,2026-04-21,Chelsea,3,Brighton,0,2.5178432092070575,15.0,0.2978653758764265,6.0,54.0,60.0,,1.0,0.0,10.2308,9.0,2.7887000000000004
334,False,33,2026-04-22,Burnley,1,Man City,0,3.5220785550773144,28.0,0.9737754771485921,9.0,,,,,,,,
334,True,33,2026-04-22,Man City,0,Burnley,1,0.9737754771485921,9.0,3.5220785550773144,28.0,35.0,11.0,88.0,0.0,0.0,16.05,5.0,0.2239
353,True,36,2026-05-10,Everton,2,Crystal Palace,2,3.292133117094636,21.0,2.107111647725105,13.0,59.0,38.0,83.0,0.0,0.0,6.381,9.0,2.0941
356,True,36,2026-05-09,Brentford,3,Man City,0,4.442099653184413,25.0,0.6700375415384768,4.0,,,,,,,,
